Date,log_return,mkt_return,tsla_volume,mkt_volume,tsla_wiki_views,tsla_edits,tsla_unique_editors,msk_wiki_views,msk_edits,msk_unique_editors,msk_tweets
2017-02-06 00:00:00-05:00,0.025300974445146132,-0.002117597513709103,53437500,3112390000,2224,2.0,2.0,25707,1.0,1.0,14.0
2017-02-07 00:00:00-05:00,-0.0011257522514144802,0.00022680346384577153,63672000,3452460000,2476,0.0,0.0,27886,0.0,0.0,1.0
2017-02-08 00:00:00-05:00,0.017707791875794108,0.0006930821486096318,58995000,3611950000,3432,0.0,0.0,24202,3.0,2.0,5.0
2017-02-09 00:00:00-05:00,0.026804792953342108,0.00573606373596025,117303000,3681600000,4009,1.0,1.0,22390,1.0,1.0,5.0
2017-02-10 00:00:00-05:00,0.00011148015529282554,0.0035597068220090916,54295500,3496600000,3767,0.0,0.0,20018,2.0,2.0,1.0
2017-02-13 00:00:00-05:00,0.04136410186266171,0.005232133584011204,105444000,3352370000,5960,5.0,4.0,21766,2.0,2.0,0.0
2017-02-14 00:00:00-05:00,0.0013533285363129279,0.003999327195672579,110178000,3528040000,6175,9.0,6.0,24758,0.0,0.0,3.0
2017-02-15 00:00:00-05:00,-0.004351390314469597,0.00497988866573445,74218500,3785870000,10592,2.0,2.0,32967,3.0,2.0,13.0
2017-02-16 00:00:00-05:00,-0.03940661510481761,-0.0008644916015501692,106159500,3675900000,16075,0.0,0.0,36317,4.0,3.0,6.0
2017-02-17 00:00:00-05:00,0.012121775789011094,0.001677149327237158,93856500,3516830000,7037,4.0,4.0,37406,2.0,2.0,14.0
2017-02-21 00:00:00-05:00,0.018777153847110366,0.0060298500200691545,85150500,3587520000,6770,0.0,0.0,30685,4.0,4.0,0.0
2017-02-22 00:00:00-05:00,-0.014086292115606103,-0.001082786146804093,131325000,3473170000,7530,5.0,2.0,28288,1.0,1.0,2.0
2017-02-23 00:00:00-05:00,-0.06619976293766883,0.00041889897125923353,223728000,4021770000,8528,0.0,0.0,28868,0.0,0.0,7.0
2017-02-24 00:00:00-05:00,0.0039376971511312624,0.0014922502320316529,122574000,3832410000,6525,1.0,1.0,21694,0.0,0.0,5.0
2017-02-27 00:00:00-05:00,-0.042810051837845475,0.0010174652677336642,171912000,3584680000,6734,2.0,1.0,29418,5.0,2.0,3.0
2017-02-28 00:00:00-05:00,0.015154913399975685,-0.0025817061151949088,91171500,4212460000,7883,1.0,1.0,61982,8.0,4.0,0.0
2017-03-01 00:00:00-05:00,0.00011993168485901984,0.013581211083725323,72142500,4347630000,6879,0.0,0.0,38309,5.0,2.0,2.0
2017-03-02 00:00:00-05:00,0.0018382577734033126,-0.0058771169721052695,50277000,3824030000,6793,13.0,6.0,37638,2.0,1.0,0.0
2017-03-03 00:00:00-05:00,0.004342173871295661,0.0005037503685347897,43791000,3556670000,7212,1.0,1.0,26314,0.0,0.0,0.0
2017-03-06 00:00:00-05:00,-0.0014320481056087722,-0.0032826227635658124,50332500,3251800000,6019,0.0,0.0,22248,3.0,2.0,0.0
2017-03-07 00:00:00-05:00,-0.01048433133048071,-0.0029176259020898777,51892500,3526300000,6178,1.0,1.0,21323,2.0,2.0,0.0
2017-03-08 00:00:00-05:00,-0.006943029517876438,-0.002286827964063899,55878000,3814080000,6063,2.0,2.0,20580,6.0,6.0,0.0
2017-03-09 00:00:00-05:00,-0.008011860916409338,0.0007995756127663866,58189500,3718450000,5976,3.0,2.0,19440,6.0,4.0,5.0
2017-03-10 00:00:00-05:00,-0.004953088918532334,0.0032633397058585423,45994500,3434400000,6759,2.0,2.0,38129,8.0,5.0,1.0
2017-03-13 00:00:00-04:00,0.01012539541037759,0.0003665656191696328,45339000,3166650000,6447,0.0,0.0,30143,1.0,1.0,5.0
2017-03-14 00:00:00-04:00,0.046937290291773334,-0.003384748980891005,113976000,3173760000,6483,6.0,5.0,24108,4.0,2.0,0.0
2017-03-15 00:00:00-04:00,-0.008837356078796606,0.008339879124686365,79962000,3909490000,6379,3.0,2.0,22096,2.0,2.0,1.0
2017-03-16 00:00:00-04:00,0.024413012744144803,-0.0016280347991836145,106983000,3368880000,6794,0.0,0.0,23324,2.0,2.0,0.0
2017-03-17 00:00:00-04:00,-0.0021010534960668706,-0.0013151792642314352,97462500,5179820000,5921,0.0,0.0,18224,0.0,0.0,0.0
2017-03-20 00:00:00-04:00,0.0016048232088261534,-0.0020119160803802947,54214500,3061560000,6129,2.0,1.0,23508,6.0,3.0,0.0
2017-03-21 00:00:00-04:00,-0.04386183669150123,-0.012485594590102116,103629000,4278890000,6375,2.0,2.0,21355,7.0,6.0,2.0
